DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Salsa,167774,Mk10,03:23:32 05-May-2017,Argos,B,33.6605,-122.0073,798,961,663,88,,,,,,
Salsa,167774,Mk10,03:48:04 05-May-2017,Argos,A,33.6513,-121.9883,252,516,123,157,,,,,,
Salsa,167774,Mk10,05:02:17 05-May-2017,Argos,B,33.6374,-121.9795,1051,1714,644,84,,,,,,
Salsa,167774,Mk10,13:25:17 05-May-2017,Argos,1,33.6786,-121.9863,851,3345,216,74,,,,,,
Salsa,167774,Mk10,13:42:37 05-May-2017,Argos,B,33.6772,-121.9835,3991,5163,3085,85,,,,,,
Salsa,167774,Mk10,13:50:59 05-May-2017,Argos,A,33.6721,-121.9902,956,2678,340,31,,,,,,
Salsa,167774,Mk10,13:52:20 05-May-2017,Argos,2,33.6727,-121.9881,407,1186,139,74,,,,,,
Salsa,167774,Mk10,01:05:42 06-May-2017,Argos,B,33.5752,-121.8973,2190,43511,110,33,,,,,,
Salsa,167774,Mk10,01:16:26 06-May-2017,Argos,B,33.5795,-121.8924,478,1523,149,74,,,,,,
Salsa,167774,Mk10,01:34:15 06-May-2017,Argos,2,33.5844,-121.8848,496,1088,226,3,,,,,,
Salsa,167774,Mk10,02:51:25 06-May-2017,Argos,B,33.5686,-121.8642,1995,45077,88,23,,,,,,
Salsa,167774,Mk10,02:54:42 06-May-2017,Argos,A,33.5806,-121.8511,175,620,49,89,,,,,,
Salsa,167774,Mk10,04:01:23 06-May-2017,Argos,B,33.5738,-121.8467,1122,1342,937,87,,,,,,
Salsa,167774,Mk10,02:25:36 07-May-2017,Argos,B,33.4323,-121.7298,4680,6232,3514,116,,,,,,
Salsa,167774,Mk10,13:00:15 07-May-2017,Argos,B,33.8022,-121.9888,5069,15490,1658,100,,,,,,
Salsa,167774,Mk10,02:12:19 08-May-2017,Argos,B,33.8920,-122.3807,7169,55707,922,76,,,,,,
Salsa,167774,Mk10,02:35:29 08-May-2017,Argos,0,33.8934,-122.4623,1780,57708,54,72,,,,,,
Salsa,167774,Mk10,03:56:14 08-May-2017,Argos,B,33.9030,-122.4708,2064,5598,760,76,,,,,,
Salsa,167774,Mk10,04:01:54 08-May-2017,Argos,B,33.9120,-122.4703,2086,6985,623,77,,,,,,
Salsa,167774,Mk10,05:34:38 08-May-2017,Argos,B,33.9204,-122.4850,2454,5489,1097,78,,,,,,
Salsa,167774,Mk10,01:33:25 09-May-2017,Argos,3,34.0514,-122.7038,185,591,57,72,,,,,,
Salsa,167774,Mk10,01:41:15 09-May-2017,Argos,A,34.0596,-122.6939,558,1685,184,95,,,,,,
Salsa,167774,Mk10,02:16:27 09-May-2017,Argos,B,34.0630,-122.6997,2526,3479,1834,92,,,,,,
Salsa,167774,Mk10,04:03:17 09-May-2017,Argos,B,34.1123,-122.7394,2233,8466,589,70,,,,,,
Salsa,167774,Mk10,01:12:02 10-May-2017,Argos,B,34.1368,-123.0166,6031,14069,2585,87,,,,,,
Salsa,167774,Mk10,01:12:02 10-May-2017,Argos,B,34.1003,-122.8228,6328,21822,1834,80,,,,,,
Salsa,167774,Mk10,02:06:24 10-May-2017,Argos,B,34.0715,-122.9617,4346,10119,1866,94,,,,,,
Salsa,167774,Mk10,02:48:04 10-May-2017,Argos,2,34.0181,-122.9810,265,282,248,155,,,,,,
Salsa,167774,Mk10,02:51:48 10-May-2017,Argos,B,34.0187,-122.9816,419,2288,76,85,,,,,,
Salsa,167774,Mk10,04:17:53 10-May-2017,Argos,B,34.0047,-123.0273,2706,3320,2204,85,,,,,,
Salsa,167774,Mk10,02:02:13 11-May-2017,Argos,B,34.0111,-123.0028,5177,6719,3987,70,,,,,,
Salsa,167774,Mk10,02:20:54 11-May-2017,Argos,1,34.0158,-123.0041,870,2978,253,97,,,,,,
Salsa,167774,Mk10,02:22:42 11-May-2017,Argos,3,34.0124,-123.0026,164,413,65,70,,,,,,
Salsa,167774,Mk10,05:36:07 11-May-2017,Argos,B,33.9972,-123.0936,9391,11857,7436,94,,,,,,
Salsa,167774,Mk10,13:02:03 11-May-2017,Argos,B,34.0755,-123.0446,17361,42072,7163,97,,,,,,
Salsa,167774,Mk10,17:49:20 11-May-2017,Argos,1,34.1198,-122.8514,572,5470,59,105,,,,,,
Salsa,167774,Mk10,01:45:10 12-May-2017,Argos,3,34.1126,-122.8442,247,326,187,100,,,,,,
Salsa,167774,Mk10,01:48:01 12-May-2017,Argos,2,34.1142,-122.8451,270,390,187,75,,,,,,
Salsa,167774,Mk10,01:58:47 12-May-2017,Argos,B,34.1214,-122.8524,975,1539,617,65,,,,,,
Salsa,167774,Mk10,03:26:43 12-May-2017,Argos,A,34.1365,-122.8351,290,908,92,162,,,,,,
Salsa,167774,Mk10,03:28:01 12-May-2017,Argos,B,34.1436,-122.8366,506,703,364,147,,,,,,
Salsa,167774,Mk10,01:18:18 13-May-2017,Argos,3,34.2855,-122.9584,244,468,127,31,,,,,,
Salsa,167774,Mk10,01:30:58 13-May-2017,Argos,2,34.2737,-122.9521,379,554,258,32,,,,,,
Salsa,167774,Mk10,01:31:27 13-May-2017,Argos,2,34.2733,-122.9530,412,731,231,77,,,,,,
Salsa,167774,Mk10,02:58:30 13-May-2017,Argos,3,34.2644,-122.9466,172,216,136,36,,,,,,
Salsa,167774,Mk10,03:08:30 13-May-2017,Argos,B,34.2829,-122.9568,2553,3142,2073,81,,,,,,
Salsa,167774,Mk10,03:08:30 13-May-2017,Argos,B,34.2823,-122.9562,3271,3920,2730,89,,,,,,
Salsa,167774,Mk10,04:50:01 13-May-2017,Argos,B,34.2981,-122.9545,1775,2494,1262,101,,,,,,
Salsa,167774,Mk10,01:23:46 14-May-2017,Argos,B,34.2949,-122.9900,2319,40674,132,114,,,,,,
Salsa,167774,Mk10,02:22:33 14-May-2017,Argos,A,34.3007,-123.0058,292,3373,25,100,,,,,,
Salsa,167774,Mk10,02:47:18 14-May-2017,Argos,2,34.2955,-123.0145,376,701,201,56,,,,,,
Salsa,167774,Mk10,03:07:01 14-May-2017,Argos,B,34.2975,-123.0179,1652,2005,1360,87,,,,,,
Salsa,167774,Mk10,01:11:11 15-May-2017,Argos,B,34.5154,-123.1429,16613,38296,7206,69,,,,,,
Salsa,167774,Mk10,02:21:43 15-May-2017,Argos,B,34.4645,-123.3387,4854,94646,248,148,,,,,,
Salsa,167774,Mk10,02:53:25 15-May-2017,Argos,B,34.4646,-123.3692,4582,12140,1729,148,,,,,,
Salsa,167774,Mk10,03:38:33 15-May-2017,Argos,B,34.5047,-123.4159,4757,8980,2519,93,,,,,,
Salsa,167774,Mk10,01:22:41 16-May-2017,Argos,B,34.6819,-123.7097,7574,201582,284,20,,,,,,
Salsa,167774,Mk10,01:52:51 16-May-2017,Argos,B,34.7675,-123.7051,9151,28452,2942,21,,,,,,
Salsa,167774,Mk10,02:38:49 16-May-2017,Argos,B,34.8220,-123.7266,6508,10352,4090,49,,,,,,
Salsa,167774,Mk10,03:10:16 16-May-2017,Argos,B,34.8587,-123.7365,5806,12930,2607,77,,,,,,
Salsa,167774,Mk10,04:45:06 16-May-2017,Argos,B,35.0059,-123.8335,11841,21737,6449,83,,,,,,
Salsa,167774,Mk10,01:31:31 17-May-2017,Argos,3,35.1131,-123.6521,214,491,93,65,,,,,,
Salsa,167774,Mk10,02:25:31 17-May-2017,Argos,B,35.1632,-123.6806,1671,2092,1333,90,,,,,,
Salsa,167774,Mk10,02:36:32 17-May-2017,Argos,B,35.1311,-123.6627,1460,16045,132,108,,,,,,
Salsa,167774,Mk10,03:10:39 17-May-2017,Argos,B,35.1644,-123.6894,925,10362,82,134,,,,,,
Salsa,167774,Mk10,01:09:55 18-May-2017,Argos,A,35.6267,-124.1019,1967,4338,891,31,,,,,,
Salsa,167774,Mk10,02:06:19 18-May-2017,Argos,B,35.6691,-124.1321,16523,19950,13684,93,,,,,,
Salsa,167774,Mk10,02:15:53 18-May-2017,Argos,B,35.6738,-124.1473,38548,143493,10355,97,,,,,,
Salsa,167774,Mk10,02:46:32 18-May-2017,Argos,B,35.6966,-124.1440,1585,25952,96,123,,,,,,
Salsa,167774,Mk10,03:39:44 18-May-2017,Argos,B,35.7272,-124.1652,1133,16725,76,100,,,,,,
Salsa,167774,Mk10,03:54:44 18-May-2017,Argos,B,35.7378,-124.1710,1250,4653,335,100,,,,,,
Salsa,167774,Mk10,03:54:44 18-May-2017,Argos,B,35.7246,-124.1847,4267,6640,2741,134,,,,,,
Salsa,167774,Mk10,05:37:09 18-May-2017,Argos,B,35.8259,-124.2704,3832,4686,3133,154,,,,,,
Salsa,167774,Mk10,01:30:51 19-May-2017,Argos,A,35.6669,-124.5634,1063,2601,434,46,,,,,,
Salsa,167774,Mk10,02:20:49 19-May-2017,Argos,B,35.6597,-124.5642,3277,44672,240,69,,,,,,
Salsa,167774,Mk10,03:16:12 19-May-2017,Argos,2,35.6490,-124.5722,283,662,121,105,,,,,,
Salsa,167774,Mk10,03:34:09 19-May-2017,Argos,B,35.6511,-124.5760,2350,2937,1880,88,,,,,,
